,Unnamed: 0,date,type,pt_time,demand,fk_temp,fk_q_temp,fk_precipit,fk_ni_precipit,fk_q_precipit,fk_suntime,fk_ni_suntime,fk_q_suntime,fk_windspeed,fk_q_windspeed,fk_windroot,fk_q_windroot,fk_humidity,fk_q_humidity,fk_sunpower,fk_q_sunpower,fk_weather,fk_q_weather,fk_seaatom,fk_q_seaatom,kg_temp,kg_q_temp,kg_precipit,kg_ni_precipit,kg_q_precipit,kg_suntime,kg_ni_suntime,kg_q_suntime,kg_windspeed,kg_q_windspeed,kg_windroot,kg_q_windroot,kg_humidity,kg_q_humidity,kg_sunpower,kg_q_sunpower,kg_weather,kg_q_weather,kg_seaatom,kg_q_seaatom,km_temp,km_q_temp,km_precipit,km_ni_precipit,km_q_precipit,km_suntime,km_ni_suntime,km_q_suntime,km_windspeed,km_q_windspeed,km_windroot,km_q_windroot,km_humidity,km_q_humidity,km_sunpower,km_q_sunpower,km_weather,km_q_weather,km_seaatom,km_q_seaatom
5712,5712,2020-08-26,2,00:00:00,977,30.2,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,65,1,3.5,“ì“Œ,8,1005.4,8,29.6,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,76.0,1,3.0,“Œ“ì“Œ,8,1005.5,8,28.9,8,0.0,8,1,8,1,0.0,8,1,0.0,1.0,1,68.0,1,2.5,“Œ“ì“Œ,8,1005.4,8
5880,5880,2020-09-02,2,00:00:00,973,30.1,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,66,1,1.0,“Œ“ì“Œ,8,1004.8,8,29.6,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,80.0,1,3.9,“Œ“ì“Œ,8,1003.4,8,27.6,8,0.0,8,1,8,1,0.5,8,1,0.0,1.0,1,78.0,1,1.9,–k–k“Œ,8,1004.7,8
31416,31416,2023-08-02,2,00:00:00,965,30.2,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,61,1,1.7,“ì“ì“Œ,8,1009.2,8,29.0,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,79.0,1,5.1,“Œ,8,1008.3,8,28.9,8,0.0,8,1,8,1,0.0,8,1,0.0,1.0,1,68.0,1,1.6,–k–k“Œ,8,1008.9,8
31584,31584,2023-08-09,2,00:00:00,953,30.5,8,0.0,8,1,0,1,0.0,8,1,0.0,1.0,1,64,1,6.6,“Œ–k“Œ,8,996.7,8,28.6,8,0.0,8,1,0,1,2.5,8,1,0.0,1.0,1,84.0,1,11.2,“Œ,8,987.7,8,29.9,8,0.0,8,1,8,1,0.0,8,1,0.0,1.0,1,67.0,1,4.4,–k“Œ,8,993.6,8
