2024/8/13 15:16 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1651,13:00～14:00,8/13,14:48,23,81

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1340,13:00～14:00,8/13,14:48

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
1406,18:00～19:00,8/13,14:48,8,93

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
1301,18:00～19:00,8/13,14:48

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),予備率(%),供給力想定値(万kW)
2024/8/13,0:00,884,920,87,15,1021
2024/8/13,1:00,827,843,86,16,960
2024/8/13,2:00,812,813,85,17,952
2024/8/13,3:00,817,816,86,16,950
2024/8/13,4:00,835,844,87,15,958
2024/8/13,5:00,868,876,90,11,963
2024/8/13,6:00,854,877,85,18,1010
2024/8/13,7:00,920,929,82,22,1127
2024/8/13,8:00,1025,1038,79,26,1290
2024/8/13,9:00,1148,1167,79,27,1459
2024/8/13,10:00,1215,1246,76,31,1590
2024/8/13,11:00,1270,1300,78,28,1631
2024/8/13,12:00,1300,1333,78,28,1669
2024/8/13,13:00,1319,1340,80,25,1651
2024/8/13,14:00,1324,1327,81,24,1638
2024/8/13,15:00,0,1321,0,0,1599
2024/8/13,16:00,0,1333,0,0,1520
2024/8/13,17:00,0,1335,0,0,1462
2024/8/13,18:00,0,1301,0,0,1406
2024/8/13,19:00,0,1260,0,0,1376
2024/8/13,20:00,0,1208,0,0,1319
2024/8/13,21:00,0,1139,0,0,1279
2024/8/13,22:00,0,1077,0,0,1208
2024/8/13,23:00,0,998,0,0,1141

最大使用率(%),時間帯
90,5:00～6:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
,,,,,

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
,,,

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
,,,,,

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
,,,

DATE,TIME,当日実績(５分間隔値）(万kW),太陽光発電実績(５分間隔値）(万kW)
2024/8/13,0:00,927,0
2024/8/13,0:05,918,0
2024/8/13,0:10,913,0
2024/8/13,0:15,907,0
2024/8/13,0:20,901,0
2024/8/13,0:25,901,0
2024/8/13,0:30,885,0
2024/8/13,0:35,891,0
2024/8/13,0:40,875,0
2024/8/13,0:45,865,0
2024/8/13,0:50,852,0
2024/8/13,0:55,848,0
2024/8/13,1:00,841,0
2024/8/13,1:05,842,0
2024/8/13,1:10,837,0
2024/8/13,1:15,841,0
2024/8/13,1:20,836,0
2024/8/13,1:25,833,0
2024/8/13,1:30,822,0
2024/8/13,1:35,828,0
2024/8/13,1:40,827,0
2024/8/13,1:45,828,0
2024/8/13,1:50,809,0
2024/8/13,1:55,819,0
2024/8/13,2:00,816,0
2024/8/13,2:05,812,0
2024/8/13,2:10,813,0
2024/8/13,2:15,809,0
2024/8/13,2:20,813,0
2024/8/13,2:25,807,0
2024/8/13,2:30,814,0
2024/8/13,2:35,810,0
2024/8/13,2:40,824,0
2024/8/13,2:45,828,0
2024/8/13,2:50,818,0
2024/8/13,2:55,811,0
2024/8/13,3:00,817,0
2024/8/13,3:05,821,0
2024/8/13,3:10,813,0
2024/8/13,3:15,813,0
2024/8/13,3:20,822,0
2024/8/13,3:25,821,0
2024/8/13,3:30,818,0
2024/8/13,3:35,811,0
2024/8/13,3:40,821,0
2024/8/13,3:45,833,0
2024/8/13,3:50,824,0
2024/8/13,3:55,818,0
2024/8/13,4:00,819,0
2024/8/13,4:05,838,0
2024/8/13,4:10,830,0
