2024/8/9 23:31 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1806,14:00～15:00,8/9,22:48,10,91

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1639,14:00～15:00,8/9,22:48

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
1689,17:00～18:00,8/9,22:48,8,93

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
1563,17:00～18:00,8/9,22:48

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),予備率(%),供給力想定値(万kW)
2024/8/9,0:00,1029,1030,87,15,1183
2024/8/9,1:00,961,963,87,15,1108
2024/8/9,2:00,935,938,87,15,1072
2024/8/9,3:00,935,939,88,14,1068
2024/8/9,4:00,950,954,88,14,1081
2024/8/9,5:00,988,996,88,14,1122
2024/8/9,6:00,1012,1020,83,20,1220
2024/8/9,7:00,1112,1110,81,24,1379
2024/8/9,8:00,1297,1288,86,16,1509
2024/8/9,9:00,1456,1454,86,17,1700
2024/8/9,10:00,1524,1542,84,19,1807
2024/8/9,11:00,1588,1603,86,17,1856
2024/8/9,12:00,1573,1576,85,18,1848
2024/8/9,13:00,1603,1622,89,13,1808
2024/8/9,14:00,1618,1629,90,12,1806
2024/8/9,15:00,1585,1617,89,13,1790
2024/8/9,16:00,1573,1605,89,12,1765
2024/8/9,17:00,1521,1543,90,11,1689
2024/8/9,18:00,1463,1481,91,10,1604
2024/8/9,19:00,1420,1423,92,9,1550
2024/8/9,20:00,1339,1333,88,14,1527
2024/8/9,21:00,1261,1242,85,17,1481
2024/8/9,22:00,1180,1174,82,22,1444
2024/8/9,23:00,0,1101,0,0,1412

最大使用率(%),時間帯
92,19:00～20:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1696,14:00～15:00,,,18,85

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1438,14:00～15:00,,

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
1499,18:00～19:00,,,9,92

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
1377,18:00～19:00,,

DATE,TIME,当日実績(５分間隔値）(万kW),太陽光発電実績(５分間隔値）(万kW)
2024/8/9,0:00,1072,0
2024/8/9,0:05,1068,0
2024/8/9,0:10,1066,0
2024/8/9,0:15,1052,0
2024/8/9,0:20,1040,0
2024/8/9,0:25,1029,0
2024/8/9,0:30,1035,0
2024/8/9,0:35,1016,0
2024/8/9,0:40,1013,0
2024/8/9,0:45,1002,0
2024/8/9,0:50,981,0
2024/8/9,0:55,993,0
2024/8/9,1:00,991,0
2024/8/9,1:05,986,0
2024/8/9,1:10,982,0
2024/8/9,1:15,965,0
2024/8/9,1:20,966,0
2024/8/9,1:25,964,0
2024/8/9,1:30,961,0
2024/8/9,1:35,949,0
2024/8/9,1:40,944,0
2024/8/9,1:45,949,0
2024/8/9,1:50,952,0
2024/8/9,1:55,943,0
2024/8/9,2:00,939,0
2024/8/9,2:05,939,0
2024/8/9,2:10,947,0
2024/8/9,2:15,942,0
2024/8/9,2:20,936,0
2024/8/9,2:25,927,0
2024/8/9,2:30,919,0
2024/8/9,2:35,933,0
2024/8/9,2:40,946,0
2024/8/9,2:45,939,0
2024/8/9,2:50,938,0
2024/8/9,2:55,938,0
2024/8/9,3:00,941,0
2024/8/9,3:05,941,0
2024/8/9,3:10,940,0
2024/8/9,3:15,932,0
2024/8/9,3:20,938,0
2024/8/9,3:25,943,0
2024/8/9,3:30,939,0
2024/8/9,3:35,944,0
2024/8/9,3:40,935,0
2024/8/9,3:45,933,0
2024/8/9,3:50,941,0
2024/8/9,3:55,941,0
2024/8/9,4:00,948,0
2024/8/9,4:05,940,0
2024/8/9,4:10,939,0
2024/8/9,4:15,936,0
2024/8/9,4:20,941,0
2024/8/9,4:25,942,0
2024/8/9,4:30,958,0
2024/8/9,4:35,948,0
2024/8/9,4:40,969,0
2024/8/9,4:45,982,0
2024/8/9,4:50,975,0
2024/8/9,4:55,976,0
2024/8/9,5:00,977,0
2024/8/9,5:05,979,0
2024/8/9,5:10,987,0
2024/8/9,5:15,993,0
2024/8/9,5:20,991,0
2024/8/9,5:25,992,0
2024/8/9,5:30,998,0
2024/8/9,5:35,992,0
2024/8/9,5:40,999,0
2024/8/9,5:45,992,0
2024/8/9,5:50,988,1
2024/8/9,5:55,985,3
2024/8/9,6:00,997,6
2024/8/9,6:05,996,10
2024/8/9,6:10,1005,17
2024/8/9,6:15,996,23
2024/8/9,6:20,1011,31
2024/8/9,6:25,1011,40
2024/8/9,6:30,1014,51
2024/8/9,6:35,1012,60
2024/8/9,6:40,1012,74
2024/8/9,6:45,1015,86
2024/8/9,6:50,1038,99
2024/8/9,6:55,1046,111
2024/8/9,7:00,1051,126
2024/8/9,7:05,1074,153
2024/8/9,7:10,1082,173
2024/8/9,7:15,1104,193
2024/8/9,7:20,1119,212
2024/8/9,7:25,1117,226
2024/8/9,7:30,1112,235
2024/8/9,7:35,1108,237
2024/8/9,7:40,1126,257
2024/8/9,7:45,1151,277
2024/8/9,7:50,1173,298
2024/8/9,7:55,1178,312
2024/8/9,8:00,1191,327
2024/8/9,8:05,1221,338
2024/8/9,8:10,1238,360
2024/8/9,8:15,1252,378
2024/8/9,8:20,1281,396
2024/8/9,8:25,1293,416
2024/8/9,8:30,1314,437
2024/8/9,8:35,1338,448
2024/8/9,8:40,1362,465
2024/8/9,8:45,1364,477
2024/8/9,8:50,1366,490
2024/8/9,8:55,1386,499
2024/8/9,9:00,1398,507
2024/8/9,9:05,1419,530
2024/8/9,9:10,1425,541
2024/8/9,9:15,1428,562
2024/8/9,9:20,1442,570
2024/8/9,9:25,1460,586
2024/8/9,9:30,1474,605
2024/8/9,9:35,1482,627
2024/8/9,9:40,1490,636
2024/8/9,9:45,1491,641
2024/8/9,9:50,1514,660
2024/8/9,9:55,1505,662
2024/8/9,10:00,1493,665
2024/8/9,10:05,1515,682
2024/8/9,10:10,1518,693
2024/8/9,10:15,1518,701
2024/8/9,10:20,1535,719
2024/8/9,10:25,1540,722
2024/8/9,10:30,1528,719
2024/8/9,10:35,1543,718
2024/8/9,10:40,1532,724
2024/8/9,10:45,1524,727
2024/8/9,10:50,1540,746
2024/8/9,10:55,1564,760
2024/8/9,11:00,1579,774
2024/8/9,11:05,1596,790
2024/8/9,11:10,1590,801
2024/8/9,11:15,1592,787
2024/8/9,11:20,1591,781
2024/8/9,11:25,1605,796
2024/8/9,11:30,1606,797
2024/8/9,11:35,1586,781
2024/8/9,11:40,1592,771
2024/8/9,11:45,1592,772
2024/8/9,11:50,1597,770
2024/8/9,11:55,1593,767
2024/8/9,12:00,1596,771
2024/8/9,12:05,1589,775
2024/8/9,12:10,1602,778
2024/8/9,12:15,1585,758
2024/8/9,12:20,1578,744
2024/8/9,12:25,1570,724
2024/8/9,12:30,1579,727
2024/8/9,12:35,1578,724
2024/8/9,12:40,1584,727
2024/8/9,12:45,1576,718
